                     name              db            type            stat
        AhmadAbdullah2000     db:springer   inproceedings            none
         AhmedTraore2005a         db:ieee   inproceedings            none
    AlghathbarMahmoud2009        db:ieee2   inproceedings            none
              AliEtAl2009         db:ieee   inproceedings            none
            AnagunCin1998    db:scidirect   inproceedings            none
          AraujoEtAl2004a     db:springer   inproceedings            none
           AraujoEtAl2005         db:ieee         article            none
         AzevedoEtAl2007a         db:ieee   inproceedings            none
         AzevedoEtAl2007b         db:ieee   inproceedings            none
              Bartlow2005        db:ndltd   mastersthesis          t-test
              Bartlow2009        db:ndltd       phdthesis            none
         BartlowCukic2006         db:ieee   inproceedings          t-test
         BartlowCukic2009     db:springer    incollection            none
         BartmannEtAl2007        db:extra         article          errbar
          BechtelEtAl2002        db:extra         article            none
        BergadanoEtAl2002          db:acm         article            none
                Bleha1988        db:extra       phdthesis            none
            BlehaEtAl1990         db:ieee         article            none
            BlehaEtAl1992        db:extra   inproceedings            none
         BlehaObaidat1991        db:extra         article            none
          BoechatEtAl2007         db:ieee   inproceedings            none
          BrownRogers1993        db:extra         article            none
          BrownRogers1994         db:ieee   inproceedings            none
          CampisiEtAl2009         db:ieee         article            none
                Chang2005         db:ieee   inproceedings            none
      ChangshuiYanhua2000         db:ieee   inproceedings            none
            ChenChang2004         db:ieee   inproceedings            none
                Cheng2007        db:ndltd   mastersthesis            none
                  Cho2006        db:ieee2   inproceedings            none
              ChoEtAl2000        db:extra         article          t-test
   ChorasMroczkowski2007a     db:springer   inproceedings            none
         ChudaDurfina2009          db:acm   inproceedings            none
           ClarkeEtAl2002         db:ieee   inproceedings            none
       ClarkeFurnell2007b    db:scidirect         article            none
           CurtinEtAl2006        db:extra   inproceedings           chisq
         DavoudiKabir2009         db:ieee   inproceedings            none
         DavoudiKabir2010         db:ieee   inproceedings            none
      DeMagalhaesEtAl2005         db:ieee   inproceedings            none
            DeRuEloff1997         db:ieee         article            none
          DehnaviFard2011    db:scidirect   inproceedings            none
         DouhouMagnus2009        db:extra         article            none
           DozonoEtAl2011     db:springer   inproceedings            none
       DozonoNakakuni2008         db:ieee   inproceedings            none
           ElAbedEtAl2010         db:ieee   inproceedings            none
          EltahirEtAl2004         db:ieee   inproceedings            none
                  Epp2010        db:ndltd   mastersthesis           kappa
              EppEtAl2011          db:acm   inproceedings           kappa
        EverittMcOwan2003        db:extra         article         confint
           ForsenEtAl1977        db:extra      techreport            none
           GainesEtAl1980        db:extra      techreport            none
     GarciaBaleonEtAl2009     db:springer   inproceedings            none
            GiotEtAl2009a         db:ieee   inproceedings            none
            GiotEtAl2009c         db:ieee   inproceedings            none
             GiotEtAl2010         db:ieee   inproceedings            none
             GiotEtAl2011    db:scidirect         article kruskal-wallis+confint
          GirouxEtAl2009a         db:ieee   inproceedings            none
          GirouxEtAl2009b         db:ieee   inproceedings            none
         GrabhamWhite2008         db:ieee   inproceedings            none
         GunettiEtAl2005a     db:springer   inproceedings            none
         GunettiEtAl2005b     db:springer   inproceedings            none
       GunettiPicardi2005          db:acm         article            none
      GuvenSogukpinar2003    db:scidirect         article            none
           HaiderEtAl2000         db:ieee   inproceedings            none
           HarunEtAl2010a         db:ieee   inproceedings            none
           HarunEtAl2010b         db:ieee   inproceedings            none
          HocquetEtAl2005         db:ieee   inproceedings            none
          HocquetEtAl2006         db:ieee   inproceedings            none
          HocquetEtAl2007     db:springer   inproceedings            none
     HosseinzadehEtAl2006         db:ieee   inproceedings            none
 HosseinzadehKrishnan2008         db:ieee         article            none
               HuEtAl2008         db:ieee   inproceedings            none
          HussienEtAl1989        db:extra         article            none
            HwangEtAl2006     db:springer   inproceedings            none
           HwangEtAl2009a    db:scidirect         article          t-test
           HwangEtAl2009b    db:scidirect         article          t-test
      ImsandHamilton2007b          db:acm   inproceedings            none
       JanakiramanSim2007     db:springer   inproceedings            none
            JiangEtAl2007          db:acm   inproceedings            none
           JoshiPhoha2007         db:ieee   inproceedings            none
           JoyceGupta1990          db:acm         article            none
              KangCho2009    db:scidirect         article      1way-anova
             KangEtAl2007     db:springer   inproceedings            none
     KaratzouniClarke2007     db:springer   inproceedings            none
          KarnanAkila2009         db:ieee   inproceedings            none
          KarnanAkila2010         db:ieee   inproceedings            none
     KarnanKrishnaraj2010         db:ieee   inproceedings            none
            KekreEtAl2011          db:acm   inproceedings            none
     KillourhyMaxion2008b     db:springer   inproceedings            none
      KillourhyMaxion2009         db:ieee   inproceedings        wilcoxon
      KillourhyMaxion2010     db:springer   inproceedings      modsel-bic
          KochRodosek2010         db:ieee   inproceedings            none
           Kolakowska2011     db:springer    incollection            none
          KotaniHorii2005        db:extra         article            none
               LeeCho2006     db:springer   inproceedings      1way-anova
               LeeCho2007    db:scidirect         article      1way-anova
              LeeEtAl2007          db:acm   inproceedings            none
          LeggettEtAl1991    db:scidirect         article            none
      LeggettWilliams1988    db:scidirect         article            none
                  Lin1997         db:ieee   inproceedings            none
              LoyEtAl2007         db:ieee   inproceedings            none
               LvEtAl2008         db:ieee   inproceedings            none
               LvWang2006         db:ieee         article            none
            MaharEtAl1995        db:extra         article    repmes-anova
         MaioranaEtAl2011          db:acm   inproceedings            none
        MandujanoSoto2004         db:ieee   inproceedings            none
          MartonoEtAl2007     db:springer   inproceedings            none
      MaxionKillourhy2010         db:ieee   inproceedings            none
         MeszarosEtAl2007         db:ieee   inproceedings            none
                 Modi2005        db:extra   mastersthesis            none
          ModiElliott2006         db:ieee   inproceedings            none
          MonroseEtAl1999          db:acm   inproceedings            none
         MonroseRubin1997          db:acm   inproceedings            none
         MonroseRubin2000    db:scidirect         article            none
        MontalvaoEtAl2006         db:ieee   inproceedings            none
 MontalvaoFilhoFreire2006         db:ieee   inproceedings            none
          Mroczkowski2004        db:ndltd   mastersthesis            none
           NapierEtAl1995        db:extra         article    repmes-anova
            NgugiEtAl2011    db:scidirect         article          t-test
       ObaidatSadoun1997a         db:ieee         article            none
        ObaidatSadoun2002     db:springer    incollection            none
          OgiharaEtAl2006         db:ieee   inproceedings            none
         OmoteOkamoto1999     db:springer   inproceedings            none
             ParkEtAl2010         db:ieee   inproceedings            none
     PavadaySoyjaudah2007         db:ieee   inproceedings            none
     PavadaySoyjaudah2008         db:ieee   inproceedings            none
        PederneraEtAl2010         db:ieee   inproceedings            none
               Revett2007         db:ieee   inproceedings            none
               Revett2009     db:springer         article            none
           RevettEtAl2005         db:ieee   inproceedings            none
           RevettEtAl2006     db:springer   inproceedings            none
          RevettEtAl2007a     db:springer   inproceedings            none
          RevettEtAl2007b        db:extra         article            none
         RobinsonEtAl1998         db:ieee         article            none
        RodriguesEtAl2005     db:springer   inproceedings            none
           RybnikEtAl2008         db:ieee   inproceedings            none
           RybnikEtAl2009         db:ieee   inproceedings            none
 SaevaneeBhatarakosol2008         db:ieee   inproceedings            none
SaevaneeBhattarakosol2009         db:ieee   inproceedings            none
      SamuraNishimura2009         db:ieee   inproceedings            none
             SangEtAl2005     db:springer   inproceedings            none
          ShahzadEtAl2009        db:extra   inproceedings            none
ShanmugapriyaPadmavathi2010     db:springer   inproceedings            none
           SharifEtAl2008         db:ieee   inproceedings            none
            ShengEtAl2005        db:ieee2         article            none
             Shepherd1995         db:ieee   inproceedings            none
        ShimshonEtAl2010a         db:ieee   inproceedings            none
        ShimshonEtAl2010b         db:ieee   inproceedings            none
       SimJanakiraman2007         db:ieee   inproceedings            none
      SinthupinyoEtAl2009         db:ieee   inproceedings            none
            StefanYao2010        db:ieee2   inproceedings            none
           SulongEtAl2009         db:ieee   inproceedings            none
              SungCho2005     db:springer   inproceedings            none
     TapiadorSiguenza1999        db:extra   inproceedings            none
          TappertEtAl2010        db:extra         article           chisq
              TehEtAl2007         db:ieee   inproceedings            none
              TehEtAl2010    db:scidirect         article            none
              TehEtAl2011     db:springer         article            none
             TranEtAl2007        db:extra   inproceedings            none
            TsengEtAl2010         db:ieee   inproceedings            none
     UmphressWilliams1985        db:extra         article            none
          VillaniEtAl2006         db:ieee   inproceedings           chisq
             WangEtAl2006         db:ieee   inproceedings            none
        YagerDunstone2010         db:ieee         article  kruskal-wallis
               YuCho2003a         db:ieee   inproceedings            none
               YuCho2003b     db:springer   inproceedings            none
                YuCho2004    db:scidirect         article            none
             ZackEtAl2010         db:ieee   inproceedings            none
            ZahidEtAl2009     db:springer   inproceedings            none
           ZhangEtAl2010a         db:ieee   inproceedings            none
                 Zhao2006        db:extra         article            none
