subject  sessionIndex  rep              H.h           DD.h.e           UD.h.e              H.e           DD.e.s           UD.e.s              H.s           DD.s.t           UD.s.t              H.t           DD.t.e           UD.t.e            H.e.1           DD.e.r           UD.e.r              H.r      DD.r.Return      UD.r.Return         H.Return
   s002             1    1           0.0845           0.3745           0.2900           0.1713           0.2938           0.1225           0.1855           0.2105           0.0250           0.1212           0.2075           0.0863           0.1201           0.1008          -0.0193           0.0937           0.3415           0.2478           0.1132
   s002             1    2           0.0892           0.1670           0.0778           0.1304           0.3055           0.1751           0.1895           0.2707           0.0812           0.1201           0.2455           0.1254           0.1249           0.1035          -0.0214           0.1122           0.3911           0.2789           0.1093
   s002             1    3           0.1146           0.1134          -0.0012           0.2886           0.2398          -0.0488           0.2603           0.1850          -0.0753           0.1666           0.2173           0.0507           0.1830           0.1122          -0.0708           0.1513           0.3563           0.2050           0.1143
   s002             1    4           0.1088           0.2629           0.1541           0.2236           0.1864          -0.0372           0.2733           0.2341          -0.0392           0.1862           0.3023           0.1161           0.2027           0.1713          -0.0314           0.1557           0.3789           0.2232           0.1365
   s002             1    5           0.1188           0.2138           0.0950           0.2891           0.1962          -0.0929           0.2682           0.2716           0.0034           0.1275           0.1890           0.0615           0.1243           0.0937          -0.0306           0.1354           0.3214           0.1860           0.1159
   s002             1    6           0.1259           0.2285           0.1026           0.2204           0.2012          -0.0192           0.1993           0.1691          -0.0302           0.1452           0.1690           0.0238           0.1964           0.1512          -0.0452           0.1534           0.2790           0.1256           0.1278
   s002             1    7           0.1219           0.1847           0.0628           0.2618           0.1468          -0.1150           0.2226           0.1644          -0.0582           0.1666           0.2020           0.0354           0.2196           0.1454          -0.0742           0.1597           0.3724           0.2127           0.1183
   s002             1    8           0.1109           0.2565           0.1456           0.2272           0.6870           0.4598           0.1705           0.3932           0.2227           0.1151           0.1946           0.0795           0.0985           0.0789          -0.0196           0.1104           0.2494           0.1390           0.1154
   s002             1    9           0.1045           0.1710           0.0665           0.1959           0.1619          -0.0340           0.1879           0.1987           0.0108           0.1117           0.2197           0.1080           0.0937           0.0752          -0.0185           0.1207           0.4708           0.3501           0.1053
   s002             1   10           0.1235           0.2636           0.1401           0.1803           0.2197           0.0394           0.2420           0.2984           0.0564           0.1473           0.2972           0.1499           0.1420           0.1003          -0.0417           0.1299           0.4077           0.2778           0.1051
   s002             1   11           0.1438           0.2844           0.1406           0.1837           0.1790          -0.0047           0.1951           0.1631          -0.0320           0.1357           0.1999           0.0642           0.1309           0.1003          -0.0306           0.1320           0.2439           0.1119           0.1095
   s002             1   12           0.1288           0.3069           0.1781           0.2056           0.2192           0.0136           0.2114           0.1791          -0.0323           0.1323           0.2189           0.0866           0.1603           0.0964          -0.0639           0.1626           0.3285           0.1659           0.1259
   s002             1   13           0.1320           0.2425           0.1105           0.1721           0.2595           0.0874           0.1883           0.1623          -0.0260           0.1178           0.2142           0.0964           0.1578           0.1161          -0.0417           0.1425           0.2631           0.1206           0.1032
   s002             1   14           0.1143           0.1879           0.0736           0.2049           0.1529          -0.0520           0.2292           0.1858          -0.0434           0.1508           0.2574           0.1066           0.1782           0.1251          -0.0531           0.1547           0.5085           0.3538           0.1217
   s002             1   15           0.1233           0.1911           0.0678           0.2189           0.1627          -0.0562           0.1748           0.1359          -0.0389           0.1600           0.3936           0.2336           0.1972           0.1433          -0.0539           0.1516           0.3429           0.1913           0.0998
   s002             1   16           0.1235           0.2174           0.0939           0.1739           0.2170           0.0431           0.2146           0.1707          -0.0439           0.1418           0.2389           0.0971           0.2006           0.1293          -0.0713           0.1273           0.2956           0.1683           0.1241
   s002             1   17           0.1024           0.1612           0.0588           0.1415           0.1130          -0.0285           0.1687           0.1739           0.0052           0.0974           0.1835           0.0861           0.1404           0.1066          -0.0338           0.1207           0.3297           0.2090           0.1027
   s002             1   18           0.1064           0.3470           0.2406           0.1370           0.1822           0.0452           0.1848           0.1578          -0.0270           0.1204           0.2529           0.1325           0.1309           0.0760          -0.0549           0.1673           0.4475           0.2802           0.1045
   s002             1   19           0.1053           0.2472           0.1419           0.1446           0.4202           0.2756           0.1494           0.2729           0.1235           0.0958           0.2462           0.1504           0.1433           0.1132          -0.0301           0.1167           0.3441           0.2274           0.1045
   s002             1   20           0.1011           0.2019           0.1008           0.1663           0.1088          -0.0575           0.1837           0.1356          -0.0481           0.1341           0.2051           0.0710           0.1922           0.1246          -0.0676           0.1502           0.2953           0.1451           0.0987
   s002             1   21           0.1206           0.1459           0.0253           0.2323           0.1376          -0.0947           0.1714           0.1293          -0.0421           0.1674           0.2638           0.0964           0.1958           0.1549          -0.0409           0.1470           0.4457           0.2987           0.1024
   s002             1   22           0.1138           0.1642           0.0504           0.1953           0.1312          -0.0641           0.1804           0.1391          -0.0413           0.1648           0.2071           0.0423           0.1890           0.1520          -0.0370           0.1605           0.3798           0.2193           0.1072
   s002             1   23           0.0816           0.2312           0.1496           0.1864           0.1220          -0.0644           0.1600           0.1127          -0.0473           0.1470           0.2019           0.0549           0.2022           0.1497          -0.0525           0.1647           0.3372           0.1725           0.0919
   s002             1   24           0.0842           0.1470           0.0628           0.2547           0.1539          -0.1008           0.1780           0.1338          -0.0442           0.1682           0.1967           0.0285           0.2212           0.1639          -0.0573           0.1542           0.4183           0.2641           0.1143
   s002             1   25           0.1111           0.2375           0.1264           0.2291           0.1729          -0.0562           0.1524           0.1246          -0.0278           0.1354           0.2014           0.0660           0.1724           0.1357          -0.0367           0.1396           0.2950           0.1554           0.1085
   s002             1   26           0.0874           0.2293           0.1419           0.2257           0.1682          -0.0575           0.1854           0.1544          -0.0310           0.1782           0.2205           0.0423           0.2180           0.1771          -0.0409           0.1792           0.3161           0.1369           0.1238
   s002             1   27           0.1185           0.1950           0.0765           0.2413           0.1239          -0.1174           0.2368           0.2032          -0.0336           0.1689           0.1782           0.0093           0.2178           0.1737          -0.0441           0.1668           0.3116           0.1448           0.1531
   s002             1   28           0.1048           0.1924           0.0876           0.2143           0.1386          -0.0757           0.2112           0.1620          -0.0492           0.1727           0.2097           0.0370           0.2370           0.1768          -0.0602           0.1423           0.3243           0.1820           0.1512
   s002             1   29           0.0927           0.1412           0.0485           0.1983           0.1276          -0.0707           0.1785           0.1415          -0.0370           0.1515           0.2030           0.0515           0.1911           0.1386          -0.0525           0.1613           0.3373           0.1760           0.1285
   s002             1   30           0.0979           0.5140           0.4161           0.1990           0.1758          -0.0232           0.2075           0.1586          -0.0489           0.1674           0.1801           0.0127           0.2101           0.1660          -0.0441           0.1465           0.3362           0.1897           0.1114
   s002             1   31           0.0874           0.1291           0.0417           0.1750           0.1439          -0.0311           0.1360           0.1169          -0.0191           0.1587           0.2081           0.0494           0.2384           0.1948          -0.0436           0.1460           0.4162           0.2702           0.1011
   s002             1   32           0.1138           0.2766           0.1628           0.2236           0.1669          -0.0567           0.2405           0.2145          -0.0260           0.1793           0.2026           0.0233           0.1845           0.1570          -0.0275           0.1421           0.3379           0.1958           0.1185
   s002             1   33           0.1000           0.3784           0.2784           0.1684           0.1671          -0.0013           0.2605           0.3362           0.0757           0.2125           0.2358           0.0233           0.1853           0.1797          -0.0056           0.1194           0.3439           0.2245           0.0961
   s002             1   34           0.1080           0.2016           0.0936           0.1560           0.1402          -0.0158           0.1791           0.1779          -0.0012           0.1276           0.1949           0.0673           0.1832           0.1679          -0.0153           0.1293           0.3282           0.1989           0.0774
   s002             1   35           0.1051           0.1953           0.0902           0.1349           0.0943          -0.0406           0.1827           0.1578          -0.0249           0.1484           0.1754           0.0270           0.2246           0.1647          -0.0599           0.1383           0.4386           0.3003           0.1285
   s002             1   36           0.1035           0.2264           0.1229           0.1682           0.1194          -0.0488           0.1909           0.1496          -0.0413           0.1405           0.1667           0.0262           0.2246           0.1615          -0.0631           0.1207           0.3165           0.1958           0.1167
   s002             1   37           0.0905           0.1646           0.0741           0.1431           0.0827          -0.0604           0.1853           0.1665          -0.0188           0.1650           0.1856           0.0206           0.2639           0.1726          -0.0913           0.1592           0.3666           0.2074           0.1370
   s002             1   38           0.1029           0.2332           0.1303           0.2080           0.1415          -0.0665           0.1991           0.1547          -0.0444           0.1523           0.1935           0.0412           0.1885           0.1528          -0.0357           0.1426           0.2104           0.0678           0.1407
   s002             1   39           0.0964           0.1758           0.0794           0.2505           0.2109          -0.0396           0.2179           0.1919          -0.0260           0.2020           0.2200           0.0180           0.2328           0.2056          -0.0272           0.1362           0.3694           0.2332           0.1478
   s002             1   40           0.1098           0.2407           0.1309           0.2093           0.1663          -0.0430           0.1817           0.1684          -0.0133           0.1851           0.2142           0.0291           0.2225           0.1668          -0.0557           0.1381           0.3035           0.1654           0.0998
   s002             1   41           0.0913           0.2026           0.1113           0.2328           0.2606           0.0278           0.2286           0.2245          -0.0041           0.1521           0.2189           0.0668           0.2154           0.2215           0.0061           0.1444           0.3011           0.1567           0.1117
   s002             1   42           0.1011           0.1678           0.0667           0.1940           0.1249          -0.0691           0.2434           0.1966          -0.0468           0.2085           0.2323           0.0238           0.1927           0.1618          -0.0309           0.1597           0.3695           0.2098           0.0913
   s002             1   43           0.1283           0.1734           0.0451           0.1529           0.0951          -0.0578           0.2649           0.2199          -0.0450           0.2170           0.2735           0.0565           0.2315           0.2011          -0.0304           0.1307           0.5845           0.4538           0.1124
   s002             1   44           0.0958           0.1385           0.0427           0.2236           0.1038          -0.1198           0.3996           0.4159           0.0163           0.2320           0.2553           0.0233           0.2742           0.2272          -0.0470           0.1354           0.3607           0.2253           0.1053
   s002             1   45           0.1024           0.1905           0.0881           0.2307           0.2564           0.0257           0.1893           0.1881          -0.0012           0.2009           0.1972          -0.0037           0.3291           0.2462          -0.0829           0.1492           0.3582           0.2090           0.1095
   s002             1   46           0.0768           0.1665           0.0897           0.2405           0.1595          -0.0810           0.2020           0.1262          -0.0758           0.2666           0.2542          -0.0124           0.3017           0.2399          -0.0618           0.1323           0.3851           0.2528           0.1222
   s002             1   47           0.1029           0.1527           0.0498           0.3387           0.1378          -0.2009           0.1819           0.1438          -0.0381           0.1754           0.2279           0.0525           0.2260           0.1481          -0.0779           0.1584           0.2753           0.1169           0.1164
   s002             1   48           0.1059           0.2141           0.1082           0.2212           0.2419           0.0207           0.2241           0.2198          -0.0043           0.2148           0.2433           0.0285           0.2560           0.2011          -0.0549           0.1629           0.3175           0.1546           0.1190
   s002             1   49           0.1135           0.1971           0.0836           0.2125           0.1389          -0.0736           0.2017           0.3075           0.1058           0.1634           0.1946           0.0312           0.2354           0.2082          -0.0272           0.1370           0.2895           0.1525           0.1014
   s002             1   50           0.1035           0.2061           0.1026           0.1781           0.1159          -0.0622           0.2373           0.3172           0.0799           0.1703           0.1689          -0.0014           0.2458           0.1996          -0.0462           0.1220           0.3616           0.2396           0.1161
   s002             2    1           0.0948           0.1140           0.0192           0.1159           0.0906          -0.0253           0.1811           0.3096           0.1285           0.1088           0.1344           0.0256           0.1460           0.1093          -0.0367           0.1204           0.2882           0.1678           0.0752
   s002             2    2           0.0713           0.1066           0.0353           0.1185           0.0621          -0.0564           0.1629           0.1243          -0.0386           0.1135           0.1463           0.0328           0.1341           0.0892          -0.0449           0.1444           0.2000           0.0556           0.0729
   s002             2    3           0.0665           0.0820           0.0155           0.1708           0.1312          -0.0396           0.2034           0.1550          -0.0484           0.1640           0.1410          -0.0230           0.1582           0.1539          -0.0043           0.0793           0.3044           0.2251           0.0774
   s002             2    4           0.0652           0.1108           0.0456           0.1708           0.1291          -0.0417           0.1524           0.1307          -0.0217           0.1180           0.1819           0.0639           0.1204           0.0900          -0.0304           0.1183           0.2449           0.1266           0.0689
   s002             2    5           0.0792           0.1275           0.0483           0.2361           0.0830          -0.1531           0.1648           0.1417          -0.0231           0.1506           0.1492          -0.0014           0.1445           0.0941          -0.0504           0.1552           0.2391           0.0839           0.0768
   s002             2    6           0.0898           0.1140           0.0242           0.1948           0.1236          -0.0712           0.1835           0.1480          -0.0355           0.1867           0.1716          -0.0151           0.1606           0.1310          -0.0296           0.1241           0.2439           0.1198           0.0731
   s002             2    7           0.0671           0.1074           0.0403           0.1746           0.1342          -0.0404           0.1669           0.0219          -0.1450           0.2534           0.3376           0.0842           0.1494           0.0834          -0.0660           0.1507           0.3172           0.1665           0.0808
   s002             2    8           0.0810           0.0907           0.0097           0.2229           0.1339          -0.0890           0.1448           0.0863          -0.0585           0.1434           0.1899           0.0465           0.1172           0.0610          -0.0562           0.1460           0.1916           0.0456           0.0718
   s002             2    9           0.0805           0.1280           0.0475           0.2059           0.1059          -0.1000           0.1223           0.0757          -0.0466           0.1197           0.1414           0.0217           0.1592           0.0850          -0.0742           0.1684           0.2066           0.0382           0.0723
   s002             2   10           0.0803           0.1689           0.0886           0.2471           0.1070          -0.1401           0.1547           0.1229          -0.0318           0.1231           0.1501           0.0270           0.1215           0.0858          -0.0357           0.1228           0.1629           0.0401           0.0818
   s002             2   11           0.0937           0.1834           0.0897           0.2642           0.1389          -0.1253           0.1692           0.0968          -0.0724           0.1505           0.1811           0.0306           0.1544           0.0982          -0.0562           0.1412           0.1910           0.0498           0.0858
   s002             2   12           0.1175           0.2898           0.1723           0.1993           0.1972          -0.0021           0.2010           0.1985          -0.0025           0.1146           0.1600           0.0454           0.1006           0.0623          -0.0383           0.1317           0.1823           0.0506           0.0737
   s002             2   13           0.0937           0.1377           0.0440           0.2849           0.1294          -0.1555           0.1513           0.1145          -0.0368           0.1585           0.1841           0.0256           0.1381           0.0956          -0.0425           0.1325           0.2159           0.0834           0.0977
   s002             2   14           0.0895           0.1612           0.0717           0.2141           0.1817          -0.0324           0.1455           0.1253          -0.0202           0.1550           0.1973           0.0423           0.1325           0.0990          -0.0335           0.1510           0.2407           0.0897           0.0911
   s002             2   15           0.0948           0.1415           0.0467           0.2191           0.1481          -0.0710           0.1422           0.1154          -0.0268           0.1516           0.1812           0.0296           0.1278           0.0692          -0.0586           0.1882           0.5901           0.4019           0.1275
   s002             2   16           0.0858           0.2446           0.1588           0.0964           0.1897           0.0933           0.1320           0.1142          -0.0178           0.0819           0.1505           0.0686           0.0990           0.0528          -0.0462           0.1325           0.1863           0.0538           0.0924
   s002             2   17           0.0956           0.1871           0.0915           0.2592           0.1402          -0.1190           0.1270           0.0881          -0.0389           0.1199           0.1938           0.0739           0.1252           0.0792          -0.0460           0.1202           0.1769           0.0567           0.1214
   s002             2   18           0.0858           0.2219           0.1361           0.1362           0.2326           0.0964           0.1278           0.1312           0.0034           0.1016           0.1779           0.0763           0.1185           0.0715          -0.0470           0.1085           0.3225           0.2140           0.1143
   s002             2   19           0.0934           0.1691           0.0757           0.1890           0.1318          -0.0572           0.1357           0.0873          -0.0484           0.1246           0.1537           0.0291           0.1426           0.0953          -0.0473           0.1179           0.1167          -0.0012           0.1102
   s002             2   20           0.1027           0.2325           0.1298           0.1671           0.1439          -0.0232           0.1669           0.1444          -0.0225           0.1014           0.1415           0.0401           0.1312           0.0847          -0.0465           0.1131           0.1101          -0.0030           0.1043
   s002             2   21           0.0929           0.1836           0.0907           0.1771           0.1178          -0.0593           0.1386           0.0934          -0.0452           0.1249           0.1598           0.0349           0.1434           0.0982          -0.0452           0.1115           0.1305           0.0190           0.1048
   s002             2   22           0.0892           0.1398           0.0506           0.2207           0.1080          -0.1127           0.1846           0.0958          -0.0888           0.1883           0.1926           0.0043           0.1594           0.1132          -0.0462           0.1206           0.1335           0.0129           0.0905
   s002             2   23           0.0890           0.1776           0.0886           0.2437           0.1254          -0.1183           0.1117           0.0673          -0.0444           0.1463           0.1606           0.0143           0.1518           0.0932          -0.0586           0.1418           0.1914           0.0496           0.1225
   s002             2   24           0.0940           0.1225           0.0285           0.2969           0.1183          -0.1786           0.1602           0.1195          -0.0407           0.1499           0.1544           0.0045           0.1761           0.1225          -0.0536           0.1492           0.1977           0.0485           0.1388
   s002             2   25           0.0971           0.0989           0.0018           0.2056           0.1402          -0.0654           0.1289           0.0892          -0.0397           0.1265           0.1492           0.0227           0.1375           0.0995          -0.0380           0.1280           0.1351           0.0071           0.1069
   s002             2   26           0.0742           0.1370           0.0628           0.2925           0.1376          -0.1549           0.1378           0.1353          -0.0025           0.1435           0.1334          -0.0101           0.1453           0.1094          -0.0359           0.1286           0.1679           0.0393           0.0993
   s002             2   27           0.0726           0.1713           0.0987           0.1977           0.1059          -0.0918           0.1112           0.0728          -0.0384           0.1434           0.1402          -0.0032           0.1590           0.1088          -0.0502           0.1580           0.1547          -0.0033           0.0999
   s002             2   28           0.0795           0.1185           0.0390           0.2093           0.1294          -0.0799           0.1365           0.0931          -0.0434           0.1093           0.1428           0.0335           0.1455           0.0829          -0.0626           0.1392           0.1743           0.0351           0.0927
   s002             2   29           0.0884           0.1364           0.0480           0.2263           0.1447          -0.0816           0.2683           0.0211          -0.2472           0.1128           0.1991           0.0863           0.1416           0.0592          -0.0824           0.1896           0.3017           0.1121           0.0932
   s002             2   30           0.0813           0.1243           0.0430           0.2146           0.1389          -0.0757           0.1109           0.0625          -0.0484           0.1138           0.1310           0.0172           0.1497           0.0958          -0.0539           0.1225           0.2357           0.1132           0.0206
   s002             2   31           0.0863           0.0963           0.0100           0.1523           0.0930          -0.0593           0.1370           0.1153          -0.0217           0.0700           0.1379           0.0679           0.1080           0.0515          -0.0565           0.1109           0.1394           0.0285           0.0953
   s002             2   32           0.0950           0.1248           0.0298           0.1803           0.0977          -0.0826           0.1595           0.1172          -0.0423           0.1312           0.1352           0.0040           0.1644           0.1285          -0.0359           0.1022           0.1053           0.0031           0.0964
